Inv Number,Ven Code,Ven Name,Store,Str Name,PO Number,RCR Number,RCR Date,RCR Amount,EFD Rate,EFD Amount,EFD Notes                                                                                      
EFD014664150,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000010657,0000006877,150818,         4995.5040 ,   .35,           17.4843 ,EFD_EDI_083115                                       
EFD014664150,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000010716,0000006876,150818,        23495.7780 ,   .35,           82.2352 ,EFD_EDI_083115                                       
EFD014664150,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000012862,0000008387,150824,         5990.2368 ,   .35,           20.9658 ,EFD_EDI_083115                                       
EFD014664150,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000013023,0000008386,150824,        55993.6531 ,   .35,          195.9778 ,EFD_EDI_083115                                       
EFD014664151,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000013027,0000008928,150826,        10750.2834 ,   .35,           37.6260 ,EFD_EDI_083115                                       
EFD014664152,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000010718,0000007232,150819,        15627.7152 ,   .35,           54.6970 ,EFD_EDI_083115                                       
EFD014664152,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000013028,0000008686,150825,        15192.5633 ,   .35,           53.1740 ,EFD_EDI_083115                                       
EFD014664153,010009,ABSOLUTE SALES CORPORATION         ,00859,NESBSCI ,0000010660,0000006775,150817,         9991.0080 ,   .35,           34.9685 ,EFD_EDI_083115                                       
EFD014664153,010009,ABSOLUTE SALES CORPORATION         ,00859,NESBSCI ,0000010720,0000006774,150817,         9529.1358 ,   .35,           33.3520 ,EFD_EDI_083115                                       
EFD014664153,010009,ABSOLUTE SALES CORPORATION         ,00859,NESBSCI ,0000012865,0000008160,150822,         9991.0080 ,   .35,           34.9685 ,EFD_EDI_083115                                       
EFD014664153,010009,ABSOLUTE SALES CORPORATION         ,00859,NESBSCI ,0000013030,0000008161,150822,        55367.4915 ,   .35,          193.7862 ,EFD_EDI_083115                                       
EFD014664154,010009,ABSOLUTE SALES CORPORATION         ,00860,NESBSBA ,0000008691,0000009494,150829,         2894.9550 ,   .35,           10.1323 ,EFD_EDI_083115                                       
EFD014664154,010009,ABSOLUTE SALES CORPORATION         ,00860,NESBSBA ,0000010721,0000009495,150829,          399.6408 ,   .35,            1.3987 ,EFD_EDI_083115                                       
EFD014664154,010009,ABSOLUTE SALES CORPORATION         ,00860,NESBSBA ,0000012077,0000009496,150829,         4359.9960 ,   .35,           15.2600 ,EFD_EDI_083115                                       
EFD014664154,010009,ABSOLUTE SALES CORPORATION         ,00860,NESBSBA ,0000012866,0000009498,150829,        12488.7600 ,   .35,           43.7107 ,EFD_EDI_083115                                       
EFD014664154,010009,ABSOLUTE SALES CORPORATION         ,00860,NESBSBA ,0000013031,0000009497,150829,         3646.3797 ,   .35,           12.7623 ,EFD_EDI_083115                                       
EFD014664155,010009,ABSOLUTE SALES CORPORATION         ,00861,NESBSPA ,0000010662,0000006899,150817,         7493.2560 ,   .35,           26.2264 ,EFD_EDI_083115                                       
EFD014664155,010009,ABSOLUTE SALES CORPORATION         ,00861,NESBSPA ,0000010722,0000006900,150817,        19104.7780 ,   .35,           66.8667 ,EFD_EDI_083115                                       
