Inv Number,Ven Code,Ven Name,Store,Str Name,PO Number,RCR Number,RCR Date,RCR Amount,EFD Rate,EFD Amount,EFD Notes                                                                                      
EFD014668991,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000030474,0000022571,151103,        15105.4388 ,   .35,           52.8690 ,EFD_EDI_111515                                       
EFD014668991,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000031351,0000022570,151103,        91126.7820 ,   .35,          318.9437 ,EFD_EDI_111515                                       
EFD014668991,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000032589,0000024917,151113,        13133.7984 ,   .35,           45.9683 ,EFD_EDI_111515                                       
EFD014668991,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000032663,0000024918,151113,        60454.7995 ,   .35,          211.5918 ,EFD_EDI_111515                                       
EFD014668992,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000032597,0000025022,151114,          499.5504 ,   .35,            1.7484 ,EFD_EDI_111515                                       
EFD014668992,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000032665,0000025023,151114,        14254.4737 ,   .35,           49.8907 ,EFD_EDI_111515                                       
EFD014668993,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000029851,0000022627,151103,        20200.2480 ,   .35,           70.7009 ,EFD_EDI_111515                                       
EFD014668993,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000030444,0000022628,151103,         5758.0524 ,   .35,           20.1532 ,EFD_EDI_111515                                       
EFD014668993,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000030476,0000022629,151103,         3898.9356 ,   .35,           13.6463 ,EFD_EDI_111515                                       
EFD014668993,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000032599,0000023770,151109,        11208.3408 ,   .35,           39.2292 ,EFD_EDI_111515                                       
EFD014668993,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000032667,0000023769,151109,        26855.1432 ,   .35,           93.9930 ,EFD_EDI_111515                                       
EFD014668994,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000028651,0000024065,151110,        12797.2872 ,   .35,           44.7905 ,EFD_EDI_111515                                       
EFD014668994,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000032601,0000024062,151110,        23978.4192 ,   .35,           83.9245 ,EFD_EDI_111515                                       
EFD014668994,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000032669,0000024059,151110,        33108.9495 ,   .35,          115.8813 ,EFD_EDI_111515                                       
EFD014668995,010009,ABSOLUTE SALES CORPORATION         ,00859,NESBSCI ,0000030478,0000023054,151105,        24845.1838 ,   .35,           86.9581 ,EFD_EDI_111515                                       
EFD014668995,010009,ABSOLUTE SALES CORPORATION         ,00859,NESBSCI ,0000032604,0000023887,151110,        30972.1248 ,   .35,          108.4024 ,EFD_EDI_111515                                       
