Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014659365, 17727,  279,152821         ,AP762739  ,150622,            7.1650 ,   .25,             .0179 ,EFD_ECO_062215                                                                               
EFD014659366, 17727,  134,163462         ,AP762739  ,150622,         1016.1600 ,   .25,            2.5404 ,EFD_ECO_062215                                                                               
EFD014659367, 17727,  166,163464         ,AP762739  ,150622,          629.8800 ,   .25,            1.5747 ,EFD_ECO_062215                                                                               
EFD014659368, 17727,  279,163467         ,AP762739  ,150622,         1352.1600 ,   .25,            3.3804 ,EFD_ECO_062215                                                                               
EFD014659369, 17727,  701,163470         ,AP762739  ,150622,         1188.3200 ,   .25,            2.9708 ,EFD_ECO_062215                                                                               
EFD014659370, 17727,  823,163474         ,AP762739  ,150622,          722.3200 ,   .25,            1.8058 ,EFD_ECO_062215                                                                               
EFD014659371, 17727,  732,163475         ,AP762739  ,150622,          163.7600 ,   .25,             .4094 ,EFD_ECO_062215                                                                               
EFD014659372, 17727,  840,163477         ,AP762739  ,150622,          810.3600 ,   .25,            2.0259 ,EFD_ECO_062215                                                                               
EFD014659373, 17727,  103,163556         ,AP762739  ,150622,        65211.3590 ,   .25,          163.0283 ,EFD_ECO_062215                                                                               
EFD014659374, 17727,  114,163559         ,AP762739  ,150622,        38870.9420 ,   .25,           97.1773 ,EFD_ECO_062215                                                                               
EFD014659375, 17727,  121,163561         ,AP762739  ,150622,        72589.6000 ,   .25,          181.4740 ,EFD_ECO_062215                                                                               
EFD014659376, 17727,  103,163562         ,AP762739  ,150622,        49474.0880 ,   .25,          123.6852 ,EFD_ECO_062215                                                                               
EFD014659377, 17727,  129,163564         ,AP762739  ,150622,        54123.6690 ,   .25,          135.3091 ,EFD_ECO_062215                                                                               
EFD014659378, 17727,  134,163566         ,AP762739  ,150622,        84067.2370 ,   .25,          210.1680 ,EFD_ECO_062215                                                                               
EFD014659379, 17727,  166,163567         ,AP762739  ,150622,        44729.9300 ,   .25,          111.8248 ,EFD_ECO_062215                                                                               
EFD014659380, 17727,  185,163569         ,AP762739  ,150622,        17916.9760 ,   .25,           44.7924 ,EFD_ECO_062215                                                                               
EFD014659381, 17727,  186,163570         ,AP762739  ,150622,        67778.4100 ,   .25,          169.4460 ,EFD_ECO_062215                                                                               
EFD014659382, 17727,  270,163574         ,AP762739  ,150622,        12818.8320 ,   .25,           32.0470 ,EFD_ECO_062215                                                                               
EFD014659383, 17727,  114,163575         ,AP762739  ,150622,        26070.9220 ,   .25,           65.1773 ,EFD_ECO_062215                                                                               
EFD014659384, 17727,  276,163576         ,AP762739  ,150622,         2706.8180 ,   .25,            6.7670 ,EFD_ECO_062215                                                                               
EFD014659385, 17727,  283,163578         ,AP762739  ,150622,        16622.9410 ,   .25,           41.5573 ,EFD_ECO_062215                                                                               
EFD014659386, 17727,  285,163579         ,AP762739  ,150622,        23281.2300 ,   .25,           58.2030 ,EFD_ECO_062215                                                                               
EFD014659387, 17727,  121,163581         ,AP762739  ,150622,        65304.3530 ,   .25,          163.2608 ,EFD_ECO_062215                                                                               
EFD014659388, 17727,  709,163582         ,AP762739  ,150622,        38317.0410 ,   .25,           95.7926 ,EFD_ECO_062215                                                                               
EFD014659389, 17727,  129,163583         ,AP762739  ,150622,        49008.8840 ,   .25,          122.5222 ,EFD_ECO_062215                                                                               
EFD014659390, 17727,  106,163584         ,AP762739  ,150622,       151934.8340 ,   .25,          379.8370 ,EFD_ECO_062215                                                                               
EFD014659391, 17727,  134,163585         ,AP762739  ,150622,        56483.0030 ,   .25,          141.2075 ,EFD_ECO_062215                                                                               
EFD014659392, 17727,  711,163586         ,AP762739  ,150622,        11257.0070 ,   .25,           28.1425 ,EFD_ECO_062215                                                                               
EFD014659393, 17727,  112,163587         ,AP762739  ,150622,       163107.8480 ,   .25,          407.7696 ,EFD_ECO_062215                                                                               
EFD014659394, 17727,  116,163588         ,AP762739  ,150622,       131682.7460 ,   .25,          329.2068 ,EFD_ECO_062215                                                                               
EFD014659395, 17727,  713,163590         ,AP762739  ,150622,        22062.0360 ,   .25,           55.1550 ,EFD_ECO_062215                                                                               
EFD014659396, 17727,  125,163591         ,AP762739  ,150622,       193358.9080 ,   .25,          483.3972 ,EFD_ECO_062215                                                                               
EFD014659397, 17727,  716,163594         ,AP762739  ,150622,         9877.1080 ,   .25,           24.6927 ,EFD_ECO_062215                                                                               
EFD014659398, 17727,  265,163595         ,AP762739  ,150622,       127008.4170 ,   .25,          317.5210 ,EFD_ECO_062215                                                                               
EFD014659399, 17727,  718,163596         ,AP762739  ,150622,        16749.5640 ,   .25,           41.8739 ,EFD_ECO_062215                                                                               
EFD014659400, 17727,  166,163598         ,AP762739  ,150622,        23559.2730 ,   .25,           58.8981 ,EFD_ECO_062215                                                                               
EFD014659401, 17727,  279,163600         ,AP762739  ,150622,       270163.2210 ,   .25,          675.4080 ,EFD_ECO_062215                                                                               
EFD014659402, 17727,  728,163601         ,AP762739  ,150622,        18003.1000 ,   .25,           45.0077 ,EFD_ECO_062215                                                                               
EFD014659403, 17727,  849,163602         ,AP762739  ,150622,        33319.2430 ,   .25,           83.2981 ,EFD_ECO_062215                                                                               
EFD014659404, 17727,  701,163603         ,AP762739  ,150622,       177315.1440 ,   .25,          443.2878 ,EFD_ECO_062215                                                                               
EFD014659405, 17727,  731,163604         ,AP762739  ,150622,        33596.7440 ,   .25,           83.9918 ,EFD_ECO_062215                                                                               
EFD014659406, 17727,  270,163605         ,AP762739  ,150622,         6979.7180 ,   .25,           17.4492 ,EFD_ECO_062215                                                                               
EFD014659407, 17727,  848,163606         ,AP762739  ,150622,         9820.7940 ,   .25,           24.5519 ,EFD_ECO_062215                                                                               
EFD014659408, 17727,  706,163607         ,AP762739  ,150622,       176357.2260 ,   .25,          440.8930 ,EFD_ECO_062215                                                                               
EFD014659409, 17727,  732,163608         ,AP762739  ,150622,        20819.6310 ,   .25,           52.0490 ,EFD_ECO_062215                                                                               
EFD014659410, 17727,  830,163609         ,AP762739  ,150622,        16503.6330 ,   .25,           41.2590 ,EFD_ECO_062215                                                                               
EFD014659411, 17727,  717,163610         ,AP762739  ,150622,       253187.2640 ,   .25,          632.9681 ,EFD_ECO_062215                                                                               
EFD014659412, 17727,  822,163611         ,AP762739  ,150622,         6808.4370 ,   .25,           17.0210 ,EFD_ECO_062215                                                                               
EFD014659413, 17727,  823,163612         ,AP762739  ,150622,        66488.3210 ,   .25,          166.2208 ,EFD_ECO_062215                                                                               
EFD014659414, 17727,  822,163613         ,AP762739  ,150622,         5544.8970 ,   .25,           13.8622 ,EFD_ECO_062215                                                                               
EFD014659415, 17727,  823,163614         ,AP762739  ,150622,        78692.3230 ,   .25,          196.7308 ,EFD_ECO_062215                                                                               
EFD014659416, 17727,  840,163615         ,AP762739  ,150622,       255720.6570 ,   .25,          639.3016 ,EFD_ECO_062215                                                                               
EFD014659417, 17727,  732,163616         ,AP762739  ,150622,        20810.3010 ,   .25,           52.0257 ,EFD_ECO_062215                                                                               
EFD014659418, 17727,  731,163617         ,AP762739  ,150622,        16892.8360 ,   .25,           42.2320 ,EFD_ECO_062215                                                                               
EFD014659419, 17727,  830,163618         ,AP762739  ,150622,        17999.5030 ,   .25,           44.9987 ,EFD_ECO_062215                                                                               
EFD014659420, 17727,  728,163619         ,AP762739  ,150622,        16627.5850 ,   .25,           41.5689 ,EFD_ECO_062215                                                                               
EFD014659421, 17727,  185,163620         ,AP762739  ,150622,        16986.7150 ,   .25,           42.4667 ,EFD_ECO_062215                                                                               
EFD014659422, 17727,  718,163621         ,AP762739  ,150622,        11358.4160 ,   .25,           28.3960 ,EFD_ECO_062215                                                                               
EFD014659423, 17727,  716,163622         ,AP762739  ,150622,        11362.2330 ,   .25,           28.4055 ,EFD_ECO_062215                                                                               
EFD014659424, 17727,  848,163623         ,AP762739  ,150622,        15776.1560 ,   .25,           39.4403 ,EFD_ECO_062215                                                                               
EFD014659425, 17727,  713,163624         ,AP762739  ,150622,        15414.0760 ,   .25,           38.5351 ,EFD_ECO_062215                                                                               
EFD014659426, 17727,  711,163625         ,AP762739  ,150622,        11600.8490 ,   .25,           29.0021 ,EFD_ECO_062215                                                                               
EFD014659427, 17727,  849,163626         ,AP762739  ,150622,        47696.5090 ,   .25,          119.2412 ,EFD_ECO_062215                                                                               
EFD014659428, 17727,  709,163627         ,AP762739  ,150622,        17061.4450 ,   .25,           42.6536 ,EFD_ECO_062215                                                                               
EFD014659429, 17727,  285,163629         ,AP762739  ,150622,        24702.6820 ,   .25,           61.7567 ,EFD_ECO_062215                                                                               
EFD014659430, 17727,  283,163630         ,AP762739  ,150622,        14119.7380 ,   .25,           35.2993 ,EFD_ECO_062215                                                                               
EFD014659431, 17727,  276,163631         ,AP762739  ,150622,         3612.6140 ,   .25,            9.0315 ,EFD_ECO_062215                                                                               
EFD014659432, 17727,  186,163664         ,AP762739  ,150622,        45481.7620 ,   .25,          113.7044 ,EFD_ECO_062215                                                                               
EFD014659433, 10156,  101,141048         ,AP762739  ,150622,         6283.9280 ,   .50,           31.4196 ,EFD_ECO_062215                                                                               
EFD014659434, 10156,  102,141049         ,AP762739  ,150622,         2089.8270 ,   .50,           10.4491 ,EFD_ECO_062215                                                                               
EFD014659435, 10156,  106,141051         ,AP762739  ,150622,        17623.3160 ,   .50,           88.1165 ,EFD_ECO_062215                                                                               
EFD014659436, 10156,  108,141052         ,AP762739  ,150622,         3783.9800 ,   .50,           18.9199 ,EFD_ECO_062215                                                                               
