Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014666884, 10368,  857,171550         ,AP068290  ,151031,         4719.5700 ,  2.00,           94.3914 ,EFD_ECO_103115                                                                               
EFD014666885, 10368,  858,171551         ,AP068290  ,151031,         5530.8300 ,  2.00,          110.6166 ,EFD_ECO_103115                                                                               
EFD014666886, 10368,  861,171552         ,AP068290  ,151031,         3734.5500 ,  2.00,           74.6910 ,EFD_ECO_103115                                                                               
EFD014666887, 10368,  856,171554         ,AP068290  ,151031,        10784.1400 ,  2.00,          215.6828 ,EFD_ECO_103115                                                                               
EFD014666888, 18564,  863,169041         ,AP068290  ,151031,        25369.5480 ,   .75,          190.2716 ,EFD_ECO_103115                                                                               
EFD014666889, 12920,  863,165130         ,AP068290  ,151031,        34655.2500 ,   .25,           86.6381 ,EFD_ECO_103115                                                                               
EFD014666890, 11460,  861,171805         ,AP068290  ,151031,         5543.8210 ,   .50,           27.7191 ,EFD_ECO_103115                                                                               
EFD014666891, 10762,  861,171322         ,AP068290  ,151031,         1026.9000 ,  1.00,           10.2690 ,EFD_ECO_103115                                                                               
EFD014666892, 13481,  861,171802         ,AP068290  ,151031,          737.2500 ,   .50,            3.6862 ,EFD_ECO_103115                                                                               
EFD014666893, 10933,  857,171792         ,AP068290  ,151031,        89104.3080 ,   .18,          160.3877 ,EFD_ECO_103115                                                                               
EFD014666894, 10933,  859,171793         ,AP068290  ,151031,       131318.2540 ,   .18,          236.3728 ,EFD_ECO_103115                                                                               
EFD014666895, 10933,  860,171794         ,AP068290  ,151031,       106394.1600 ,   .18,          191.5094 ,EFD_ECO_103115                                                                               
EFD014666896, 10933,  861,171795         ,AP068290  ,151031,         9891.4600 ,   .18,           17.8046 ,EFD_ECO_103115                                                                               
EFD014666897, 10933,  863,171796         ,AP068290  ,151031,       113340.4320 ,   .18,          204.0127 ,EFD_ECO_103115                                                                               
EFD014666898, 12864,  855,167152         ,AP068290  ,151031,         4618.8500 ,  1.00,           46.1885 ,EFD_ECO_103115                                                                               
EFD014666899, 12864,  860,167157         ,AP068290  ,151031,         1221.1000 ,  1.00,           12.2110 ,EFD_ECO_103115                                                                               
EFD014666900, 12864,  861,167158         ,AP068290  ,151031,         1635.8900 ,  1.00,           16.3589 ,EFD_ECO_103115                                                                               
EFD014666901, 12864,  862,167159         ,AP068290  ,151031,         4090.7500 ,  1.00,           40.9075 ,EFD_ECO_103115                                                                               
EFD014666902, 13528,  855,168139         ,AP068290  ,151031,        17693.6600 ,  1.00,          176.9366 ,EFD_ECO_103115                                                                               
EFD014666903, 13528,  857,168141         ,AP068290  ,151031,         9601.9900 ,  1.00,           96.0199 ,EFD_ECO_103115                                                                               
EFD014666904, 13528,  859,168142         ,AP068290  ,151031,        22788.0700 ,  1.00,          227.8807 ,EFD_ECO_103115                                                                               
EFD014666905, 13528,  860,168143         ,AP068290  ,151031,         4908.4100 ,  1.00,           49.0841 ,EFD_ECO_103115                                                                               
EFD014666906, 13528,  861,168144         ,AP068290  ,151031,          833.4900 ,  1.00,            8.3349 ,EFD_ECO_103115                                                                               
EFD014666907, 13528,  862,168145         ,AP068290  ,151031,           14.6600 ,  1.00,             .1466 ,EFD_ECO_103115                                                                               
EFD014666908, 13528,  855,171590         ,AP068290  ,151031,        11172.0000 ,  1.00,          111.7200 ,EFD_ECO_103115                                                                               
EFD014666909, 13528,  857,171592         ,AP068290  ,151031,         3654.0000 ,  1.00,           36.5400 ,EFD_ECO_103115                                                                               
EFD014666910, 13528,  859,171593         ,AP068290  ,151031,        13916.0000 ,  1.00,          139.1600 ,EFD_ECO_103115                                                                               
EFD014666911, 13528,  860,171594         ,AP068290  ,151031,          980.0000 ,  1.00,            9.8000 ,EFD_ECO_103115                                                                               
EFD014666912, 13528,  861,171595         ,AP068290  ,151031,          532.0000 ,  1.00,            5.3200 ,EFD_ECO_103115                                                                               
EFD014666913, 13528,  862,171596         ,AP068290  ,151031,           14.0000 ,  1.00,             .1400 ,EFD_ECO_103115                                                                               
EFD014666914, 12399,  860,165065         ,AP068290  ,151031,          420.0000 ,   .75,            3.1500 ,EFD_ECO_103115                                                                               
